dataset,n_features_total,model,selector,selector_family,k_ratio,n_selected_mean,accuracy_mean,accuracy_std,f1_mean,f1_std,train_time_s_mean,total_time_s_mean,energy_j_mean,energy_wh_mean
Wisconsin Breast Cancer,30,Random Forest,Filter (Mutual Info),Filter,0.75,22.0,0.9508150908244062,0.016216320113834143,0.950637847003072,0.01656820796689008,0.18757139180015656,0.30236655860062456,19.653826309040596,0.005459396196955721
Wisconsin Breast Cancer,30,Random Forest,Wrapper (RFE),Wrapper,0.75,22.0,0.9595870206489675,0.006971918072338138,0.9593957502326298,0.007278121461709986,0.18803297520062187,0.23044256659995882,14.978766828997323,0.004160768563610367
Wisconsin Breast Cancer,30,Random Forest,Embedded (L1-SVM),Embedded,0.75,22.0,0.9648657040832169,0.005474508654284594,0.9648675008267219,0.005362852992956537,0.20912250020046486,0.24490350839987512,15.918728045991884,0.004421868901664412
Wisconsin Breast Cancer,30,Random Forest,Embedded (RF importance),Embedded,0.75,22.0,0.9560782487191428,0.007777102123864983,0.9560072625656952,0.007769751833621997,0.18002555040002335,0.38080052500008604,24.752034125005594,0.006875565034723776
Wisconsin Breast Cancer,30,Linear SVM,Baseline (no FS),None,1.0,30.0,0.9666356155876417,0.012854115389141165,0.9665585642255886,0.012913084272032613,0.002576283199596219,0.0027292169994325376,0.17739910496311495,4.927752915642082e-05
Wisconsin Breast Cancer,30,Linear SVM,Filter (Mutual Info),Filter,0.25,8.0,0.9613414066138798,0.013112602658190713,0.9611906879968799,0.013203920768162989,0.0014840832001937088,0.0787540501994954,5.119013262967201,0.0014219481286020003
Wisconsin Breast Cancer,30,Linear SVM,Wrapper (RFE),Wrapper,0.25,8.0,0.95960254618848,0.008872760936304137,0.9594813474985969,0.009045042450619403,0.0012964499997906386,0.01605294179971679,1.0434412169815914,0.0002898447824948865
Wisconsin Breast Cancer,30,Linear SVM,Embedded (L1-SVM),Embedded,0.25,8.0,0.9683744760130415,0.010503414750935476,0.9683412840954349,0.010531922291405975,0.0012569749997055624,0.007563541800482199,0.4916302170313429,0.00013656394917537304
Wisconsin Breast Cancer,30,Linear SVM,Embedded (RF importance),Embedded,0.25,8.0,0.9560782487191428,0.01565744309515114,0.9559747942573763,0.015644514512371338,0.0021860167995328083,0.18957114160002675,12.322124204001739,0.003422812278889372
Wisconsin Breast Cancer,30,Linear SVM,Baseline (no FS),None,1.0,30.0,0.9666356155876417,0.012854115389141165,0.9665585642255886,0.012913084272032613,0.0021197166010097136,0.0022512830000778195,0.14633339500505826,4.064816527918285e-05
